career_label,skills
senior associate - business restructuring services (penang),"excel, communication, management"
"sales representative(japanese, korean, indonesian, vietnamese & other languages)",management
solutions architect,"python, java, sql, excel, management"
area manager (penang),"excel, communication"
senior manager - international tax services/m&a,management
ai engineer / ai specialist (1-year renewable contract @midvalley southkey),"python, excel, machine learning, deep learning, communication, aws, azure, docker, tensorflow, pytorch"
executive engineering (building facilities),management
data manager,"sql, machine learning, management, aws, azure"
cabin crew admin,"excel, communication, management"
customer experience specialist (華語客服/mandarin-speaking),
big data hadoop developer,"python, java, sql, machine learning, communication, aws, azure"
customer service associate (sibu),"excel, communication, management"
dispatch cum data entry clerk - finance department,communication
junior account associate,"excel, communication, management"
lead development associate,
"principal consultant, corporate sustainability & climate change, malaysia","excel, communication, management"
team leader / supervisor (november 2022),"communication, management"
"senior manager, project management","communication, management"
staff delivery manager,"excel, communication, management"
"executive, gts finance",management
"executive, corporate planning & strategy",management
"team lead- professional development unit, academy","excel, management"
"executive, operational risk & business continuity management","machine learning, management"
maintenance technician (georgetown),"excel, communication, management"
maintenance technician (bangsar),"excel, communication, management"
maintenance technician (bukit damansara),"excel, communication, management"
solution architect - cloud (fresh graduate are welcome to apply),communication
experienced associate - transfer pricing,"communication, management"
quality and compliance assessor – cra expertise required,"excel, communication, management"
senior economy designer,"python, excel"
"executive, global partnerships","excel, communication, management"
product engineer - on site,
"senior, risk consulting (it audit)","sql, communication, management"
service desk analyst - japanese and mandarin speaking,"excel, communication, management"
senior performance engineer,"java, excel, communication"
experienced supplier quality engineer,management
electrical engineer,"management, project management"
"sales consultant, asb (1011576)",communication
senior buyer,excel
mfg & process dvl engineer i,"data analysis, communication"
engineering manager – malaysia,excel
technical product manager / owner,"python, java, excel, management"
technical product manager / owner (mobile),"python, java, excel, management"
safety & health officer (johor),management
ticketing manager,"excel, communication"
assistant manager,
admin assistant,
fgs technician,
copywriter,communication
"assistant manager, finance",management
clinical sales specialist,communication
project engineer,
technical team lead,"excel, communication, management, azure"
product executive,
project engineer (project management and development),"management, project management"
"head of online sales, sea","excel, management"
senior risk manager,"excel, management"
"technical consultant ii, power & new energy",
logistics cost specialist,management
"head, sd guthrie seeds & agricultural services sdn bhd",management
manager - actuarial,"excel, data analysis, communication, management, project management"
senior accountant,management
factory manager (bakeries & pastries manufacturer),"excel, management"
consulting systems engineer - malaysia,"excel, communication, management"
java developer,"java, data analysis"
tiktok live - ugc creator manager - malaysia (based in kuala lumpur),data analysis
staff hardware digital engineer,
logistics specialist,excel
senior r&d project manager,"excel, communication, management"
account executive,
rover (sg),management
regional hse manager,"excel, management"
graphic designer (fresh graduates are most welcome),
business development executive – workplace,"communication, management"
renewal software associate,communication
electrical engineer,
data analyst intern,"python, sql, excel, data analysis, statistics, communication"
internship application in robert bosch power tools,"communication, management"
"internship in environmental, health and safety","excel, data analysis, management"
software engineer (malaysia),"python, java, excel, communication"
internship opportunity 实习生 (internship starting from jan 2026 onwards),
software test engineer (malaysia),"sql, excel, communication, management"
desktop support engineer,
account executive,
supervisor (retail outlet),"excel, communication, management"
"senior executive, gfcrm",management
technical service lead (australia),management
senior associate - indirect tax (pwc acceleration center kuala lumpur),"communication, management"
manager - data engineer,"excel, data analysis, communication, management"
"sr account executive, enterprise",management
sales manager,"communication, management"
sales admin intern - kota bharu,management
sales and design consultant,
site manager,
indoor sales associate,
cloud security delivery engineer,"python, java, sql"
join our global team - licensed professionals,
system analyst,"java, sql, management"
supply chain assistant / executive,"excel, communication, management"
firmware engineer,
business / hr admin internship (reachable by ktm&mrt kajang),excel
mechanical engineer modeller,
security supervisor,
"channel development manager, southeast asia & taiwan",excel
assistant finance manager (shared services hub),"excel, communication"
"manager, financial planning","sql, excel, management"
work force management analyst (12-month contract),"excel, communication, management"
quantity surveyor,"excel, communication"
driver,
restaurant manager,
react js developer,
senior logistics specialist,"excel, communication, management"
human resources officer,
accounting assistant,management
"senior executive, digital marketing",communication
tax accountant,
senior associate - assurance (jhb),"data analysis, communication, management"
sales executive,
accountant,
accounting assistant,
warehouse assistant,
jurujual,
human resources officer,
accounting & group reporting associate,"excel, management"
shipping coordinator / logistics officer,management
logistics team leader,management
electrician,
sales manager,
auditor,
general clerk,"excel, communication"
senior accountant,
accounting assistant,
site engineer (johor bahru),management
facilities technician (mobile team),management
quality assurance executive (mr),"communication, management"
verification engineer (semicon),
kitchen assistant,
positions: performance marketing executive,"excel, communication"
analyst/associate consultant,"statistics, communication, management, project management"
positions: media manager,"excel, management"
positions: senior account/brand manager,communication
maintenance engineer,"excel, communication"
project coordinator,
"positions: manager, buying performance accountability, apac","excel, data analysis, communication"
data analyst,"python, sql, excel, statistics, communication"
head of sales fund administration,aws
data understanding - team lead - malaysia,"python, sql, excel, machine learning, communication, management, project management"
it business analyst,"management, project management"
sales representative,
order processor,
assistant project manager,"communication, management, project management"
distillation process specialist,"excel, communication"
accounts executive,"sql, management"
"institutional client relationship manager, investments","communication, management"
retail sales manager,
brand manager,"excel, management, project management"
ecommerce sales representative,
marketing executive,
"senior executive, collaboration","communication, management"
scaffolding job,
channel development manager,"communication, management"
"senior executive, demand planner (fmcg)",management
product specialist,"excel, communication, management"
product specialist,"excel, communication, management"
production operator,
project coordinator,
sales coordinator,
sales assistant,
live stream host / hostess,
sales associate,
senior salesforce developer,"excel, communication, management"
psychology internship - wfh/ remote-work accepted,"excel, management, project management"
system administrator/ infrastructure engineer,"management, azure, docker"
senior support engineer,"sql, excel, communication, management"
human resource executive,management
retail supervisor,
room attendant,
recreation coordinator,
"supervisor, manufacturing operations (shift)","excel, communication, management"
food & beverage - waitress / waiter,"excel, communication"
account manager,
chef de partie,
accounts officer,
finance associate,
procurement manager,
"fitter/welder (taiping, perak)",aws
cost accountant,
customer service representative,management
customer support agent,management
telemarketer,
dynamics 365 junior developer,"java, excel, communication"
senior cloud support engineer - snowflake engine - optimization,"sql, excel, communication, management"
sr process engineer - automation,"communication, management"
service operator - coiled tubing,
consulting director – capital delivery project – environmental & social...,"excel, communication, management"
"apac project manager, hr operating office","excel, communication, management"
social media team lead,
dynamics 365 senior developer,"java, excel, communication"
mehanical / naval architect,
production supervisor,
warehouse assistant,
customer care representative,
coffee barista,
"accounts receivable, am","excel, communication"
waitstaff,
policy benefits assistant manager,"communication, management"
i2c - collection specialist,
safety engineer,
sales support officer,
sales executive,
"senior executive, general ledger","excel, communication, management"
compliance & risk manager,"excel, communication, management, aws"
"senior executive, chartering","excel, communication"
conveyancing clerk,
lawyer/ chambering student,
junior legal associate,
tech talent sourcer,
legal assistant (litigation),
chambering student,communication
chambering student,
portfolio relationship manager,"excel, communication, management"
front end developer - efs,"java, communication"
"bellman - concierge, park hyatt kuala lumpur","excel, communication, management"
lead technical representative,
fp&a specialist,management
customer service cashier,
marketing executive,
finance administration assistant,
litigation clerk/ pupil in chambers/ paralegal,
o2c senior specialist - collections,
principal solutions engineer - automotive,"python, excel, communication, aws, azure"
devsecops and iam - principal engineer,"management, project management"
conveyancing clerk - available after chinese new year / conveyancing lawyer,
litigation clerk non motor department,
litigation secretary,
conveyancing administrator/clerk/ admin & accounts clerk,
conveyancing lawyer / conveyancing clerk,
legal associate,communication
legal associate (conveyancing and commercial),communication
conveyancing legal assistant,
legal associate (litigation & arbitration),"excel, management"
"executive, marketing (motor franchise holders & dealers - based at melaka)",management
senior trainer - staff training,
job alert,
financial planning and analysis manager,
"medical officer, occupation safety & health",management
technician,communication
senior ai full-stack developer - python/react,"python, excel, management"
it product owner – sap cloud & master data integration,"excel, communication, management, project management"
ecommerce specialist,
nail technician,
polymers process engineer,communication
food and beverage manager,
internal auditor,
accounts clerk,
site engineer (northern),"excel, communication, management"
"finance controller, materials group - asean",management
membership consultant,excel
food and beverage manager,
safety assistant & security officer,management
business development executive,
"crew member – suria sabah shopping mall, kota kinabalu",
human resource admin,"excel, communication, management"
buffer security to night,
"lead mechanical engineer, data center",
java spring boot developer,
front of house manager,"excel, management"
senior data analyst,"python, sql"
head of maintenance,"excel, communication, management"
safety & health manager,"communication, management"
administrative executive,
digital marketing manager,
customer service associate,
account executive,
it engineer (fresh graduate),communication
system analyst,"java, sql"
client executive,excel
community navigator (selangor),communication
relationship manager (investment),"excel, communication, management, project management"
"technician, hospital engineering services",
"senior executive, market analyst","python, machine learning"
"senior manager, corporate development (investor relations)","excel, communication, management"
account manager,"excel, communication"
retail sales associate (sunway velocity),"excel, communication, management"
assistant account manager,management
project architect,
2d graphic artist,excel
creative designer,"java, communication, management"
senior associate - people operations,"management, aws"
tiktok live - agency manager - malaysia,"data analysis, communication, management"
junior systems administrator,"excel, azure"
regional sales manager,communication
"seo, google & meta ads specialist","excel, communication, management"
human resources performance management specialist,"excel, management"
"smb sales representative, malaysia",communication
"internship for tech risk students - rm2,000 for top students","excel, communication"
"executive, sales support","excel, management"
senior associate - purchase to pay,"excel, communication"
it internship,
quality control manager,management
supply chain manager,"excel, communication, management"
"trainee, hris","excel, communication, management, aws"
"executive, it application support",
ehs manager,"communication, management"
licensing intern (pj),"excel, communication, management"
positions: art director /senior art director,"excel, management"
licensing intern (pg),"excel, communication, management"
civil and structural engineer ii,"excel, communication"
accountant – corporate reporting,management
"manager, media planning","excel, management"
senior calibration services and support engineer,
aws cloud architect,"python, java, sql, excel, communication, management, aws"
assistant finance manager (uk support),"excel, communication, management"
machine operator,
beauty advisor (penang),
"operations executive, ifast global bank (uk support)",
beauty advisor (kota kinabalu),
beauty advisor (f88 store),
supervisor purchasing,
production operations team leader,"excel, communication, management"
oracle dba,"sql, excel, communication, management"
brand advisor - data analytics & consumer insights,"excel, statistics, communication, management"
"senior associate - environmental, social, and governance (“esg”)",management
"senior executive, land commercialisation","excel, communication, management"
compliance business partner,"excel, communication, management"
on-site mental health professional,
personal driver,
machine technician,
cdm group manager - apac,"excel, statistics, communication, management"
business development manager,"excel, communication, management"
advanced support engineer team lead - malaysia/philippines,"excel, communication, management"
sales representative,
inside sales / telemarketing manager (ict enterprise business),"communication, management, project management"
commodities trader（cosmetic）- based in malaysia,management
huawei apac wireless solution sales product engineer / manager,"excel, communication, management, project management"
"service crew - three taste, jq",
cyber risk and controls officer,"excel, communication"
senior pricing associate (insurance),"python, sql, statistics"
staff enterprise technology engineer core identity,"python, excel, management, azure"
data entry clerk,"sql, excel, management"
customer & product data analyst,"data analysis, management"
operation assistant,"excel, communication, management"
"executive, shipping documentation",aws
tiktok shop - business analyst (malaysia),"excel, communication, management, project management"
it business analyst – salesforce,"excel, management"
quality manager (it and data centers industry),management
production supervisor,"excel, communication, management"
personal driver cum pa,
account receivable officer,
senior accounting executive,"excel, communication"
experienced associate - full stack developer (guidewire digital portal),"java, excel, communication, management"
legal clerk / legal secretary / admin/ legal secretary/ office admin,excel
system security engineer - security operations center,management
it consulting junior executive,
it consulting assistant manager,
business development manager,"excel, communication, management"
payroll project technical lead,"excel, communication, management"
product specialist,"excel, communication, management"
credit research analyst,communication
service supervisor - coiled tubing,"excel, management"
"intern, regional campaign marketing",communication
conveyancing secretary/ pupil / para-legal,"excel, communication"
litigation lawyer/ conveyancing lawyer/ lawfirm accountant,communication
finance analyst (fp&a),
pupil in chambers,management
energy solutions engineer - electrical,"excel, communication, management"
java programmer (executive),"java, sql"
internship (accounting/finance),"excel, communication"
resort internship,"excel, management"
fresh graduate hiring (accounting/finance),"data analysis, communication, management"
manufacturing operator,communication
chemist i.research & dev.laboratory,data analysis
assistant housekeeping manager - park hyatt kuala lumpur,management
site supervisor,
human resource manager,"communication, management, aws"
"kitchen crew - kiss my bowl, city mall",
enterprise sales manager (esm),management
software developer team lead,"sql, communication, management, project management"
assistant manager - finance,"excel, communication, management"
project delivery manager,"excel, management, project management"
"associate, transaction banking","management, aws"
"guest service officer - reservations, park hyatt kuala lumpur","excel, communication, management"
it product owner - sap integration technologies,"excel, communication, management, project management"
commodity risk lead,"communication, management"
"manager, internal audit","excel, communication, management, aws"
department manager,"communication, management"
it business analyst – salesforce marketing cloud,"excel, communication"
"lead, data science & analytics (generative ai)","python, sql, machine learning, statistics, management, project management, aws, azure"
site project engineer,
it business analyst - supply chain planning,management
senior quality assurance engineer hybrid,excel
it infrastructure engineer-sap basis,excel
supply chain management intern,"excel, communication, management"
"manager, hr operational excellence","excel, communication, management, aws"
senior associate - corporate tax,"excel, communication, management, project management"
sr qlty & reliability engineer,"communication, management"
intern - client desktop computing,"excel, communication"
customer service representative,
property asset manager,
telemarketer,
associate consultant - landmark,
machinist (production technician),
osh assistant or supervisor,
mctf jobstreet career fair (september 2024),
supply chain analyst,"excel, communication, management"
repair & maintenance supervisor,"management, aws"
senior data engineer,"python, sql, excel, data analysis, management, aws"
"outlet supervisor industry - suria sabah shopping mall, kota kinabalu","communication, management"
senior data engineer,"python, sql, excel, data analysis, management, aws"
senior pastry,"excel, communication, management"
production workforce,
internship program / industrial trainee,"communication, management"
senior marketing manager (customer acquisition),"excel, data analysis, communication, management"
ems pricing lead (electronics manufacturing services),excel
purchasing internship,management
performance intelligence lead,"excel, data analysis"
master scheduler/ planner,
knowledge manager,"excel, statistics, communication, management, project management"
data science lead,"python, sql, excel, statistics, azure"
repair & maintenance technician,"communication, management, aws"
quality control inspector,
account executive *urgent,
restaurant manager,management
restaurant manager,management
manager / assistant manager (sustainability),"excel, communication, management"
"technician, general maintenance","excel, communication"
english - mandarin interpreter / customer service (wfh) (remote),excel
product manager,
principle microcircuit process engineer,
experienced associate - business restructuring,"communication, management"
r&d manager (bakery & pastry manufacturer),"excel, communication, management, project management"
restaurant manager,management
retail sales associate (ioi mall puchong),"excel, communication, management"
assistant retail store manager (ioi mall puchong),"excel, communication, management"
contract executive (based at kota kinabalu),
purchasing manager,
m&e engineer (costing)/ quantity surveyor (m&e),
bartender,"excel, management"
academic guidance counselor/social studies teaching position - malaysia,
multi - media teacher - malaysia,
grade 12 mathematics teacher - malaysia july 2025,management
design technology teacher - malaysia,
qshe intern (pj),"communication, management"
"manager, planning",management
qshe intern (jb),"communication, management"
clinic assistant,
cnc machinist (milling / turning),
graphic designer,
lead quality assurance engineer,"sql, communication, management, project management, azure"
quality analyst (i and ii),"excel, communication"
medical assistant,
barista - park hyatt kuala lumpur,excel
power bi developer,"sql, excel, data analysis, aws, azure"
head of finance - business processing centre,"excel, management"
hr & admin assistant,
bartender - park hyatt kuala lumpur,"excel, communication, management"
senior business development - c&i,"excel, communication, management"
ems program manager (electronics manufacturing services),"excel, management"
service crew,
product manager,"sql, excel, communication, management"
account executive - marriott executive apartments25055765,
plant manager (aquaculture feed),"communication, management, aws"
"executive, product management","excel, management"
manufacturing test engineer (intern),"excel, communication"
sales engineer,
qa technician,
software engineer,
"senior executive, logistics operation (chilled/frozen food)-night shift",
maintenance engineer,
multinational service specialist - 12 months contract,management
"executive, software developer","java, sql, management"
"senior executive, finance reporting",management
"executive, procurement/purchasing",
senior associate - valuation,"communication, management"
"account executive, gl",excel
"regional sales & account management, executive","excel, communication, management"
promotion executive - fintech forex,"data analysis, communication, management, project management"
full stack developer (nodejs | kafka | aws),"java, sql, communication, management, aws, docker"
principal/senior/staff hardware digital engineer,"excel, communication, management"
pcb dfm technical lead,"communication, management"
solutions engineer - automotive,"python, azure"
sr mfg & process dvl engineer,management
video editor / animator,
videographer / content creator,"excel, management"
senior backend engineer - (pixelmon - game platform),"java, sql, aws, docker"
nurse,
mechatronic apprentice,
senior legal case manager,"excel, communication, management"
logistics specialist,"excel, communication, management"
senior pastry master,"excel, communication, management"
senior project planner,
senior quantity surveyor/assistant contract manager,
purchasing executive/assistant,
"2509kl remote hubspot front-end developer (up to usd1,300/month)","java, communication"
"sr professional, pre-sales (system, storage & backup)",
"key account manager, aerospace & security","excel, communication, management"
accounts officer (gl),"excel, communication, management"
network engineer,
zeiss cmm programmer / technician,
service crew,
promoter (maxis),"excel, communication"
"assistant manager, finance",management
account renewal manager (insurance),excel
global business services hub student intern,communication
"maintenance technician (chargeman a0, a1 & a4)",excel
devops engineer,"java, sql, management"
procurement coordinator - data analytics,"communication, management"
building/plant/facility engineer,excel
regional apac co-location account manager,
apprentice,"statistics, management"
logistic and supply chain intern,management
"software engineer internship - testing, technical analysis, and automation...","python, java, excel, communication"
payroll & local delivery senior specialist,"communication, management"
fresh food manager,"excel, data analysis, communication, management, project management"
people experience associate,"excel, communication, management"
production planner,management
part time kelindan - penang,
(wfh) telemarketer & appointment setter | property & finance industry,
unix system administrator,"python, excel, communication, management, aws, azure, docker"
art lead / 3d pipeline coordinator,"excel, communication"
assembly technician,
waiter waitress,"excel, communication"
"kering treasury analyst, apac",communication
people systems & knowledge base specialist,"excel, statistics, communication, management"
forensic laboratory administrator– forensic technology services,"data analysis, communication, management"
"executive, corporate planning",management
manufacturing engineer director,"excel, communication, management, project management"
"telephone operator, customer care & experience",management
head of banking operations,"excel, management"
training manager,"excel, management"
general application (kuala lumpur),
general application (lumut/sitiawan/segari),
retail supervisor,management
business intelligence analyst,"sql, management"
assistant miller,management
production assistant,
"senior officer, quality management",
全职线上数学教师,
accountant,"excel, management"
mid-market account manager (sarawak),
sales manager (plastic injection moulding and medical life sciences background),management
internship,excel
software engineer,python
sales coordinator,"excel, management, project management"
product manager- cloudera/uipath/edb,
"critical facilities engineer, malaysia",management
senior accountant,
"laundry attendant, park hyatt kuala lumpur",excel
"guest experience host, park hyatt kuala lumpur","excel, communication, management"
early childhood trainee,
operator pengeluaran,
senior associate - devops engineer,"management, aws, azure"
talent and leadership development specialist,management
experienced associate - capital project & infrastructure,"excel, communication, management, project management"
senior associate - etl developer (guidewire) (pwc acceleration center kuala...,"sql, excel, communication, management, azure"
senior associate - rewards,"excel, communication, management"
experienced associate - qa automation tester (guidewire) - pwc acceleration...,"python, java, communication, management"
administration officer,
"executive, content creator",
senior design engineer - hardware owner,"communication, management, project management"
senior project manager - erp transformation (performance),"management, project management"
retail operations executive (australia),"excel, communication, management"
sales specialist,communication
"senior scientist, geospatial intelligent unit",management
inżynier praktykant w dziale wsparcia technicznego,
"intern, project management","excel, data analysis, communication, management, project management"
people experience sme,excel
project lead engineer,"communication, management"
commercial development manager,
"interventional account manager (onco) - central, sarawak, and east coast","excel, communication"
advanced non-metallic materials engineer,"communication, aws"
medical account manager - central and pahang,
senior project manager - integrated erp roadmap,"excel, communication, management, project management"
sales & marketing executive,
lead design engineer - hardware owner,"communication, management, project management"
mechanical drafter,communication
journeyman pattern maker,
"payroll analyst, global hr services (1 year contract)","excel, communication, aws"
"senior enterprise technology engineer - security, identity & compliance","management, azure"
it risk specialist,"excel, communication, management"
power bi developer products lead - supplier diversity,
engineering and process lead,"excel, management, azure"
spares fulfilment specialist,"sql, management"
assistant manager - digital marketing,communication
senior associate - software tester,"java, sql, excel, communication, management"
project manager,"excel, management, project management"
reliability engineer (machinery),management
preventative maintenance coordinator,"excel, management"
"associate, growth consulting",excel
global export controls manager,excel
inside sales executive,communication
service engineer (ipoh),excel
product marketing specialist,"communication, management"
data centre maintenance engineer (electrical),"excel, communication, management, aws"
hr & administrative intern,"excel, communication, management"
qaqc engineer - mechanical & plumbing (m&p),management
"assistant manager - human resources, park hyatt kuala lumpur","excel, management"
sourcing lead - c&p retail assets,"communication, management, aws"
"executive, product compliance",
production assistant (assistant miller),management
is functional analyst,"excel, management"
operations fulfilment executive,"excel, communication, management"
product marketing specialist - home solutions,"communication, management"
structured cabling site manager (jb),"communication, management"
advanced manufacturing process engineer (blending),
senior product design engineer (completion tools),"excel, communication, management, project management"
associate commissioning engineer,"excel, communication"
fluid solids process engineer,
product marketing specialist - energy distribution in residential & commercial,"communication, management"
business hse specialist,"machine learning, communication, management"
data engineer,"python, sql, communication, management, azure"
staff enterprise technology engineer - data & analytics technical enablement,"python, sql, excel, management, aws, azure"
"hygiene officer - hyatt place kuala lumpur, bukit jalil",
senior engineer - nonconventional machining - aerospace research,"python, communication"
it software engineer - sap application development,"excel, communication, management"
arc senior analyst (fixed term),"data analysis, communication, management"
process control engineer,excel
internship in information system and technology,management
senior enterprise technology engineer (sap fico),"communication, management"
internship for computer/it/software/data science,"python, sql, excel"
internship in supply chain (planning),excel
sales manager - epc project pursuit,"communication, management"
internship in logistic and supply chain,"excel, management"
senior enterprise technology engineer (sap p2p),"data analysis, management"
internship in logistic and supply chain management,management
internship in deployment business excellent department (dbe),"communication, management"
internship in mft5.3 (new manufacturing process technologies & know-how),excel
pupils in chambers (kl office),"excel, communication, management"
stock inventory trainee,excel
internship in quality assurance (related to supplier quality),"excel, communication, management"
senior associate - tax (johor),"communication, management, project management, aws"
internship in sample build activity,"excel, management"
internship in software application development,"sql, management"
internship in accounting and finance 2025,excel
internship in quality management & methods,"java, sql, excel, management"
internship in planning,excel
counter equipment technician,
air-conditioning technician,management
regional sales manager,"excel, communication"
industrial trainees for industrial engineering and lean function,
technical support manager - dph,"excel, communication, management"
senior module engineer,
staff r&d/product dvl engineer,"excel, communication"
"senior engineer, simulator operations",
store manager (fashion store based in bukit jalil),"excel, communication, management"
data centre maintenance engineer (mechanical),"excel, communication, management, aws"
sales executive,management
principal commodity manager,"excel, communication, management"
sourcing analyst,"excel, communication, management"
"officer, interline operations (contract)","communication, management"
hr manager,"excel, communication, management, aws"
retail sales associate (ioi city mall putrajaya),"excel, communication, management"
customer service representative,
aws engineer,"management, aws, azure"
global procurement market analyst - additives (lubricants),"excel, communication, management"
ai specialist group digital transformation,"python, excel, machine learning, statistics, docker, tensorflow, pytorch"
campus hire - chemical engineer,"excel, communication"
test process engineer,management
experienced associate - genai software engineer (pwc acceleration center...,"python, sql, deep learning, statistics, communication, management, aws, azure, docker, tensorflow, pytorch"
site reliability engineer (sre)/devops engineer,"python, java, excel, management, aws, azure"
solution architect (functional_java),"java, excel, communication"
technical leader (java),"java, management"
tik tok live host & content creator (food industry),communication
business development manager export,excel
consumer marketing manager,communication
senior software engineer (fullstack),"java, sql, excel, communication, azure"
senior operational auditor,aws
"manager, master data operations",excel
warehouse assistant,excel
associate multimedia designer,communication
welder,"communication, management, aws"
boilerman,management
it product owner - sales solutions,"excel, communication, management, project management"
product development executive (2 vacancies),
hr & admin manager,"communication, management"
commercial finance manager,management
senior clinical affairs manager,"communication, management, project management"
care assistant,
senior clinical research manager,"excel, statistics, communication, management"
senior monitoring specialist,"excel, communication"
export coordinator executive,excel
customer solutions chef,
auto test developer,"python, java, excel, communication, management, project management"
accountant,management
"regional assistant manager, recruitment (1 year contract)","excel, communication, management"
fitness coach (my),
team lead - credit risk,"excel, communication, management"
textline counsellor (ic),
"senior executive, sales admin",aws
test automation engineer,"excel, communication"
director- data center operations,communication
deputy manager,"communication, management, aws"
base manager - kakkanad base,management
human resources assistant,
design engineer,
manager/senior finance executive,"excel, communication, management"
junior engineer,
senior information security engineer (ise),aws
sales manager,"excel, management"
senior database administrator,"sql, management, aws, azure"
accounting assistant,
java api developer,"java, sql, excel, communication"
technical project manager,"excel, communication, management, project management, aws, azure"
senior .net developer,"java, sql, communication"
collections control associate,
senior associate - hrms l1 client support,"communication, management"
senior associate - laravel developer,management
general application,excel
"manager, company secretary","communication, management, aws"
as400 developer,"sql, excel"
executive production admin,"data analysis, communication, management"
"manager, hr business partner","excel, management"
account manager,excel
"manager, creative & branding management","excel, communication, management, project management"
head of procurement & tender department,management
positions: media planner,communication
positions: media manager,"excel, management"
regulatory affairs associate ( 1 year contract),"excel, communication, management, project management"
waiter/waitress,excel
turnover coordinator,excel
technical lead,
project engineer,
administration clerk,"excel, communication, management, project management"
mobile application developer,
hiring for heavy commercial vehicle technicians,excel
tukang kayu (carpenter),
cost clerk,"excel, management"
customer service executive (inbound) – fresh graduates welcome!,"excel, communication"
cleaner/general worker,
software engineer / programmer / sap consultant,"java, sql"
assistant quality document controller,"excel, communication, management"
material coordinator,excel
contract / procurement administrator,"excel, management"
software engineer (java),"java, management"
procurement global data analyst - daily,"excel, data analysis, management"
"food & beverage supervisor - outlet, park hyatt kuala lumpur","excel, communication, management"
internship - business development executive,management
java developer,"java, sql, data analysis"
software engineer (angular),"java, excel, communication"
"creative production designer, packaging - on site",management
sailor / robot operator,
plc engineer @ klia malaysia,"excel, communication"
staff nurse/nurse aide - confinement centre,communication
assistant kitchen lead,"excel, communication, management"
hlc engineer @ klia malaysia,"java, sql, communication"
solution architect (technical_java),"java, sql, management"
maintenance admin assistant/executive (main-facility),"excel, communication"
farm manager (layer),
