career_label,skills,experience_years,education_level
ai researcher,"python, deep learning, tensorflow, pytorch",0,unknown
data analyst,"sql, excel, data analysis, communication, management",5,degree
machine learning engineer,"python, machine learning, deep learning, tensorflow, pytorch",3,master
robotics engineer,"python, machine learning",5,master
robotics engineer,"python, machine learning, tensorflow",5,master
ux designer,communication,5,degree
ar/vr developer,"python, java",5,degree
cloud engineer,"python, java, aws, azure, docker",5,degree
digital marketing specialist,management,5,degree
ui engineer,"java, communication",5,degree
product manager,"data analysis, communication, management, project management",8,master
content writer,management,5,degree
software engineer,"python, java, sql, machine learning, docker, tensorflow",5,master
machine learning engineer,"python, sql, machine learning, deep learning, tensorflow, pytorch",5,master
system administrator,,5,degree
full stack developer,"java, sql, management",5,master
content writer,"communication, management",8,degree
e-commerce specialist,"excel, data analysis, management",5,degree
ui engineer,java,5,degree
full stack developer,"java, sql",5,degree
software engineer,"python, java, sql, machine learning, aws",5,master
qa engineer,"python, java, excel",5,degree
software engineer,"python, java, aws, docker",5,master
database administrator,"sql, management",8,degree
machine learning engineer,"python, machine learning, deep learning, aws, tensorflow",0,master
database administrator,"python, sql, statistics, management",8,degree
it support specialist,"python, aws, azure",5,degree
cloud engineer,"python, java, aws, azure, docker",8,unknown
business analyst,"excel, data analysis, communication, management, project management",5,master
devops engineer,"python, java, aws, azure, docker",5,degree
business analyst,"sql, excel, data analysis, management",5,degree
ai researcher,"python, java, sql, tensorflow, pytorch",0,unknown
ai researcher,"python, sql, machine learning, deep learning, tensorflow, pytorch",0,unknown
e-commerce specialist,"java, data analysis",5,degree
ux designer,,5,degree
robotics engineer,"python, management",5,master
data engineer,"python, java, machine learning, aws, azure, tensorflow",5,master
data engineer,"python, java, sql, excel, machine learning, tensorflow, pytorch",5,degree
full stack developer,"java, sql, management",0,master
data architect,"python, java, sql, excel, machine learning, aws, azure",8,unknown
data analyst,"sql, excel, data analysis",3,master
digital marketing specialist,"data analysis, management",5,degree
full stack developer,"java, sql, management, docker",5,master
ui engineer,java,5,degree
cybersecurity analyst,"python, java, management, aws, azure",8,degree
robotics engineer,"python, machine learning",5,unknown
mobile app developer,"sql, excel, communication",5,degree
data scientist,"python, sql, machine learning, deep learning, data analysis, communication, management, tensorflow",5,master
full stack developer,"java, sql, management",5,master
qa engineer,"python, java, management",5,degree
data engineer,"python, java, machine learning, aws, azure, tensorflow, pytorch",0,master
mobile app developer,java,0,degree
cybersecurity analyst,"python, java, excel, communication, aws, azure",5,degree
content writer,"excel, management, project management",8,degree
business analyst,"sql, data analysis, communication, management",5,degree
machine learning engineer,"python, sql, machine learning, data analysis, tensorflow",5,master
robotics engineer,python,5,master
game developer,,0,unknown
blockchain developer,"python, java, management",5,master
ux designer,communication,5,degree
ai researcher,"python, java, machine learning, deep learning, tensorflow, pytorch",0,degree
software engineer,"python, java, machine learning, aws, azure, docker",5,master
qa engineer,"python, java, excel",5,degree
data analyst,"python, sql, excel, management",3,master
mobile app developer,"sql, management",0,degree
software engineer,"python, java, sql, data analysis, docker",5,master
data analyst,"python, sql, excel, data analysis, management",5,degree
mobile app developer,"java, sql, management",5,degree
data engineer,"python, java, sql, machine learning, management, tensorflow, pytorch",5,master
mobile app developer,"java, sql, management",5,degree
data architect,"python, java, sql, aws, azure",8,master
cybersecurity analyst,management,8,degree
cloud engineer,"python, aws, azure",5,degree
devops engineer,"python, excel, aws, azure, docker",0,degree
data engineer,"sql, machine learning, aws, azure, tensorflow, pytorch",5,degree
data architect,"python, java, sql, excel",8,master
machine learning engineer,"python, sql, machine learning, deep learning, tensorflow, pytorch",5,master
robotics engineer,python,5,master
mobile app developer,sql,5,master
machine learning engineer,"python, machine learning, deep learning, data analysis, tensorflow, pytorch",5,master
data architect,"python, java, sql, machine learning, aws, azure",8,degree
ai researcher,"python, java, deep learning, tensorflow, pytorch",0,unknown
data scientist,"python, sql, machine learning, deep learning, data analysis, management, aws, azure, tensorflow, pytorch",0,master
cloud architect,"python, java, management, aws, docker",8,degree
human resources specialist,"data analysis, communication, management",5,degree
human resources specialist,"data analysis, management, project management",8,degree
cloud engineer,"python, management, aws, azure",0,degree
software engineer,"python, java, machine learning, aws, docker",0,degree
product manager,"data analysis, communication, management",8,master
ai researcher,"python, java, machine learning, deep learning, data analysis, azure, tensorflow, pytorch",0,unknown
data engineer,"python, java, machine learning, aws, azure, tensorflow, pytorch",0,master
data engineer,"python, java, machine learning, aws, azure, tensorflow, pytorch",0,master
digital marketing specialist,"excel, data analysis, communication, management, project management",5,degree
ar/vr developer,,5,unknown
ar/vr developer,,5,degree
data engineer,"python, java, sql, machine learning, aws, azure, tensorflow, pytorch",5,degree
cybersecurity analyst,"excel, communication, management, aws",5,degree
human resources specialist,"excel, data analysis, communication, management",5,degree
database administrator,"python, java, sql, management",5,master
business analyst,"communication, management, project management",8,degree
system administrator,"python, management",0,degree
ui engineer,java,5,degree
business analyst,"excel, data analysis, communication, management, project management",5,master
qa engineer,"python, java",5,master
cloud engineer,"python, java, aws, azure",5,degree
data analyst,"python, sql, excel, data analysis, management",3,degree
data analyst,"python, sql, excel, data analysis, aws",5,degree
ai researcher,"python, java, deep learning, aws, azure, tensorflow, pytorch",0,foundation
full stack developer,"java, sql, docker",5,master
e-commerce specialist,"excel, data analysis, management",5,degree
mobile app developer,"java, sql",0,degree
data analyst,"python, sql, excel, data analysis, statistics, communication",5,master
business analyst,"sql, excel, data analysis, communication, management",5,degree
human resources specialist,"excel, communication, management",5,degree
software engineer,"python, java, machine learning, docker, tensorflow",5,master
blockchain developer,"python, java, sql, management",0,degree
product manager,"data analysis, management, project management",5,master
robotics engineer,"python, java, machine learning",5,master
qa engineer,"python, java, sql, excel, management",5,degree
blockchain developer,"python, java, management",0,degree
system administrator,management,5,degree
e-commerce specialist,"excel, data analysis, management",5,degree
data engineer,"python, java, sql, machine learning, aws, azure, docker",0,degree
product manager,"data analysis, communication, management",8,degree
ui engineer,java,5,degree
business analyst,"sql, data analysis, communication, management, project management",5,degree
e-commerce specialist,"data analysis, management, project management",5,degree
data engineer,"python, sql, machine learning, aws, azure, tensorflow",0,degree
data engineer,"python, sql, machine learning, docker",5,master
qa engineer,"python, java",5,master
content writer,"communication, management",5,degree
software engineer,"python, java, sql, machine learning, deep learning, management, docker, tensorflow, pytorch",5,master
cloud engineer,"python, java, sql, aws, azure",0,degree
e-commerce specialist,"excel, data analysis",5,degree
system administrator,"python, excel, aws, azure",0,degree
data scientist,"python, sql, machine learning, deep learning, statistics, tensorflow, pytorch",5,master
robotics engineer,"python, machine learning, communication",0,master
e-commerce specialist,"excel, data analysis",5,degree
database administrator,"sql, management",8,degree
data engineer,"python, java, sql, machine learning, aws, azure",8,degree
product manager,"excel, data analysis, communication, management, project management",8,degree
data analyst,"python, sql, data analysis, statistics, management",3,degree
machine learning engineer,"python, machine learning, aws, tensorflow, pytorch",5,master
data analyst,"sql, excel, management",3,degree
product manager,"data analysis, communication, management",5,master
system administrator,"python, management",0,degree
digital marketing specialist,management,5,degree
human resources specialist,"data analysis, management",8,degree
ux designer,management,5,master
software engineer,"python, java, sql",5,degree
blockchain developer,"python, java, management",0,degree
it support specialist,management,0,degree
ux designer,"java, communication, management",5,degree
data analyst,"python, sql, excel, data analysis, management",5,degree
business analyst,"python, sql, excel, data analysis, communication",5,degree
product manager,"excel, data analysis, management, project management",8,degree
devops engineer,"python, machine learning, management, aws, azure, docker",5,master
cloud architect,"management, aws, docker",8,degree
data analyst,"python, sql, data analysis, management",5,degree
ux designer,,5,degree
human resources specialist,management,5,degree
it support specialist,,5,degree
full stack developer,"java, sql, management",5,master
machine learning engineer,"python, machine learning, pytorch",3,master
ar/vr developer,java,5,degree
data analyst,"python, sql, excel, data analysis, statistics, management",5,degree
data architect,"python, java, sql, aws, azure",8,master
blockchain developer,"python, java, management",5,degree
product manager,"data analysis, communication, management",5,degree
software engineer,"python, java, machine learning, aws, azure, docker",5,master
human resources specialist,"communication, management",8,degree
data analyst,"python, sql, excel, machine learning, data analysis",5,master
data engineer,"python, java, sql, machine learning, tensorflow",5,master
business analyst,"sql, excel, data analysis, communication, management",5,master
product manager,"data analysis, communication, management, project management",8,unknown
e-commerce specialist,"excel, management",5,degree
ar/vr developer,,5,unknown
game developer,,0,unknown
software engineer,"python, java, machine learning, deep learning, aws, azure, docker, tensorflow",5,degree
blockchain developer,"python, java, management",5,degree
database administrator,"sql, excel, data analysis",8,degree
mobile app developer,,0,degree
data engineer,"python, java, sql, aws, azure",5,degree
cloud engineer,"python, aws, azure",5,degree
it support specialist,"excel, communication, management",0,degree
full stack developer,"java, sql, management",8,degree
data engineer,"python, java, sql, machine learning, management, aws, azure",5,degree
data scientist,"python, sql, machine learning, statistics, management, tensorflow",3,master
software engineer,"python, java, sql, aws, azure, docker",0,master
database administrator,"python, java, sql, management",8,degree
content writer,"communication, management",5,degree
data analyst,"sql, excel, data analysis, management",3,master
software engineer,"python, java, aws, azure, docker",5,master
cloud architect,"python, java, aws, azure, docker",8,degree
mobile app developer,"java, sql, management",5,degree
ar/vr developer,"python, java",0,degree
full stack developer,"java, sql, management",5,degree
data architect,"python, java, sql, excel, management, aws, azure",8,master
data analyst,"python, sql, machine learning, data analysis, statistics, communication, management",3,degree
data architect,"sql, communication, management, project management, aws, azure",8,degree
machine learning engineer,"python, sql, machine learning, tensorflow, pytorch",5,master
ux designer,"communication, management",5,degree
human resources specialist,"communication, management",5,degree
data engineer,"python, java, sql, machine learning, aws, tensorflow, pytorch",5,degree
ar/vr developer,,5,unknown
content writer,"excel, management",5,degree
ui engineer,java,5,degree
content writer,management,5,degree
data scientist,"python, sql, machine learning, deep learning, statistics, management, tensorflow, pytorch",0,master
cloud engineer,"python, sql, aws, azure",5,degree
mobile app developer,java,5,degree
data engineer,"python, sql, machine learning, aws, azure, tensorflow",5,degree
cloud architect,"management, aws, azure, docker",8,master
data architect,"python, java, sql, aws, azure",8,degree
ai researcher,"python, java, machine learning, deep learning, aws, azure, tensorflow, pytorch",0,unknown
ar/vr developer,,5,degree
product manager,"data analysis, communication, management",8,degree
business analyst,"sql, excel, data analysis, communication, management",5,degree
game developer,,5,unknown
product manager,"sql, excel, data analysis, communication, management",8,master
cloud architect,"python, java, management, aws, azure, docker",8,degree
ar/vr developer,,0,unknown
system administrator,"python, communication, management, aws, azure",8,degree
data engineer,"python, java, sql, machine learning, aws, azure, tensorflow",5,degree
ux designer,communication,5,degree
system administrator,"excel, management",8,degree
it support specialist,"python, excel, communication, aws, azure",5,degree
it support specialist,"excel, communication, management",5,degree
system administrator,python,8,degree
database administrator,"python, sql",8,degree
business analyst,"sql, excel, data analysis, communication, management",5,degree
full stack developer,"java, sql, management",5,degree
ui engineer,,5,master
blockchain developer,"python, java, management",5,degree
robotics engineer,"python, machine learning",0,master
ux designer,"excel, communication, management",5,master
devops engineer,"python, java, aws, azure, docker",0,degree
mobile app developer,java,5,master
game developer,,5,degree
data scientist,"python, java, sql, machine learning, data analysis, statistics, management, tensorflow",5,unknown
game developer,,5,degree
machine learning engineer,"python, machine learning, aws, azure, tensorflow, pytorch",5,master
data engineer,"python, java, sql, machine learning, aws, azure, tensorflow, pytorch",5,degree
mobile app developer,"java, excel, communication",5,degree
robotics engineer,"python, machine learning, data analysis",5,master
product manager,"data analysis, communication, management",8,master
robotics engineer,"python, excel, machine learning, data analysis",5,master
business analyst,"excel, data analysis, communication, management, project management",8,degree
qa engineer,"python, java, management",3,degree
data scientist,"python, machine learning, deep learning, data analysis, docker, tensorflow",5,master
data engineer,"python, java, machine learning, aws, azure, tensorflow",5,degree
it support specialist,"excel, management",5,degree
robotics engineer,"python, communication",5,master
business analyst,"sql, excel, data analysis, management, project management",5,master
data analyst,"python, sql, excel, data analysis, communication, management",5,degree
ui engineer,java,5,degree
cloud architect,"python, java, aws, azure, docker",8,degree
robotics engineer,python,5,master
digital marketing specialist,"excel, data analysis, management",5,degree
business analyst,"sql, excel, data analysis, communication, management",5,degree
cloud engineer,"python, aws, azure",0,degree
human resources specialist,"excel, communication, management",5,degree
human resources specialist,"excel, communication, management",8,degree
human resources specialist,"communication, management",5,degree
digital marketing specialist,"data analysis, management, project management",5,degree
digital marketing specialist,management,5,degree
e-commerce specialist,"excel, communication, management",5,degree
data engineer,"python, sql, machine learning, aws, azure, tensorflow",0,degree
machine learning engineer,"python, sql, machine learning, deep learning, tensorflow, pytorch",0,master
blockchain developer,"python, java, sql, management",5,master
cybersecurity analyst,"python, management, aws, azure",5,degree
robotics engineer,"python, java, machine learning, data analysis",5,master
qa engineer,"python, java, excel, communication, management",5,master
robotics engineer,"python, machine learning, tensorflow",5,master
human resources specialist,"excel, communication, management, aws",0,master
ar/vr developer,management,5,unknown
cloud engineer,"python, aws, azure, docker",5,master
full stack developer,"java, sql, management",5,degree
business analyst,"sql, data analysis, communication",5,degree
human resources specialist,"excel, communication, management",8,degree
devops engineer,"python, java, aws, azure, docker",0,degree
digital marketing specialist,"excel, data analysis, management, project management",5,degree
devops engineer,"python, aws, azure, docker",5,degree
software engineer,"python, java, sql, machine learning, docker, tensorflow",5,master
mobile app developer,java,5,degree
digital marketing specialist,"data analysis, communication",5,degree
data engineer,"python, java, sql, machine learning, aws, azure",5,master
human resources specialist,"excel, communication, management",8,degree
ar/vr developer,,5,unknown
blockchain developer,"python, java, management",5,degree
data analyst,"python, data analysis, management",5,degree
machine learning engineer,"python, machine learning, deep learning, aws, pytorch",3,master
data architect,"sql, aws, azure",8,degree
qa engineer,"python, java",5,unknown
devops engineer,"python, management, aws, azure, docker",0,degree
machine learning engineer,"python, machine learning, data analysis, aws, azure, tensorflow, pytorch",0,master
machine learning engineer,"python, sql, machine learning, deep learning, docker, tensorflow",5,master
ar/vr developer,java,5,unknown
system administrator,"python, sql, management",8,degree
devops engineer,"python, java, aws, azure, docker",5,degree
database administrator,"python, java, sql, management, aws, azure",8,degree
qa engineer,"python, java, excel, management, project management",5,degree
database administrator,"python, java, sql, management",8,degree
mobile app developer,"java, sql, management",5,degree
database administrator,"python, sql, management",0,master
mobile app developer,"java, sql, data analysis",0,foundation
it support specialist,"excel, communication",5,degree
machine learning engineer,"python, machine learning, deep learning, data analysis, aws, azure, tensorflow, pytorch",5,master
game developer,,5,unknown
database administrator,"python, sql, excel, communication, management",0,degree
data scientist,"python, sql, machine learning, deep learning, statistics, management, aws, tensorflow, pytorch",5,master
digital marketing specialist,"java, management",5,degree
full stack developer,"java, sql",5,master
e-commerce specialist,management,5,degree
system administrator,"python, excel, communication, management, aws, azure",0,degree
blockchain developer,"java, management",5,degree
devops engineer,"aws, azure, docker",0,degree
ar/vr developer,,5,unknown
data architect,"python, java, sql, machine learning, aws, azure",8,master
database administrator,"python, sql, management, aws, azure",8,degree
ar/vr developer,java,5,degree
blockchain developer,"python, java, management",0,degree
cybersecurity analyst,python,0,degree
product manager,"excel, data analysis, communication, management, project management",8,master
data scientist,"python, sql, machine learning, deep learning, data analysis, statistics, management, tensorflow",0,master
cloud engineer,"python, sql, aws, azure",5,degree
data engineer,"python, java, machine learning, aws, azure, tensorflow, pytorch",5,degree
robotics engineer,"python, java, machine learning",3,master
mobile app developer,,5,master
e-commerce specialist,"excel, data analysis, management",5,degree
product manager,"data analysis, communication, management, project management",8,master
data scientist,"python, sql, machine learning, deep learning, data analysis, statistics, management, tensorflow, pytorch",0,degree
it support specialist,communication,5,degree
digital marketing specialist,"excel, management",5,degree
machine learning engineer,"python, sql, machine learning, data analysis, tensorflow",5,master
system administrator,"python, management",5,degree
data analyst,"python, sql, excel, data analysis, management",5,degree
machine learning engineer,"python, machine learning, deep learning, data analysis, tensorflow, pytorch",0,master
ui engineer,java,5,degree
digital marketing specialist,"data analysis, communication",5,degree
full stack developer,"python, java, sql, management",5,master
system administrator,"python, excel, communication, management, aws, azure",0,degree
blockchain developer,"python, java, management",5,master
ar/vr developer,"python, java",0,degree
blockchain developer,java,5,degree
blockchain developer,"python, java, sql, management",5,degree
machine learning engineer,"python, machine learning, deep learning, docker, tensorflow",0,master
devops engineer,"python, aws, azure, docker",0,master
ar/vr developer,,5,degree
content writer,"excel, communication, management",5,degree
ux designer,communication,5,degree
content writer,management,0,degree
ui engineer,java,5,degree
devops engineer,"python, management, aws, azure, docker",0,degree
digital marketing specialist,management,5,degree
ui engineer,"java, docker",5,degree
game developer,,0,unknown
game developer,,5,unknown
qa engineer,"excel, management",5,degree
system administrator,"management, aws, azure",0,degree
blockchain developer,"python, java, sql, management",5,degree
mobile app developer,"java, sql",5,master
content writer,,5,degree
machine learning engineer,"python, machine learning, deep learning, pytorch",3,degree
e-commerce specialist,"java, management",5,degree
data scientist,"python, sql, machine learning, deep learning, data analysis, statistics, management, tensorflow, pytorch",5,master
ui engineer,"java, management, project management",8,degree
machine learning engineer,"python, machine learning, deep learning, docker, tensorflow, pytorch",0,master
robotics engineer,"python, machine learning",0,master
blockchain developer,"python, java, management",0,master
business analyst,"excel, data analysis, communication, management, project management",5,degree
machine learning engineer,"python, machine learning, aws, azure, tensorflow, pytorch",3,master
cloud architect,"aws, azure",8,degree
e-commerce specialist,"excel, data analysis, management",5,degree
ai researcher,"python, deep learning, pytorch",0,unknown
robotics engineer,"python, machine learning",5,master
data architect,"python, java, sql, aws, azure",8,master
data analyst,"python, sql, excel, machine learning, data analysis, management",5,master
blockchain developer,"python, java, management",3,degree
it support specialist,"excel, communication, management, azure",5,degree
qa engineer,"python, java",5,master
ui engineer,java,5,degree
ai researcher,"python, java, machine learning, deep learning, tensorflow, pytorch",0,unknown
database administrator,"python, sql, management",8,degree
cloud engineer,"python, java, aws, azure, docker",0,degree
data scientist,"python, sql, machine learning, deep learning, data analysis, statistics, management, tensorflow",5,master
data engineer,"python, java, sql, machine learning, aws, azure, tensorflow, pytorch",5,degree
machine learning engineer,"python, sql, excel, machine learning, deep learning, communication, management, tensorflow, pytorch",4,master
e-commerce specialist,"excel, data analysis, communication",5,degree
data architect,"python, java, sql, aws, azure",8,master
data scientist,"python, sql, machine learning, deep learning, data analysis, communication, management, tensorflow, pytorch",5,master
human resources specialist,"communication, management",5,degree
cybersecurity analyst,"python, aws, azure",0,degree
data engineer,"python, java, sql, management, aws, azure",5,master
content writer,"excel, management",5,degree
digital marketing specialist,"excel, data analysis, management",5,degree
system administrator,python,8,degree
cloud architect,"python, java, excel, management, aws, docker",8,degree
devops engineer,"python, excel, management, aws, azure, docker",0,degree
system administrator,"aws, azure",5,degree
cloud architect,"communication, management, aws",8,degree
data engineer,"python, sql, machine learning, management, aws, azure",0,degree
data analyst,"python, sql, excel, data analysis, management",5,degree
ar/vr developer,,0,unknown
it support specialist,excel,5,degree
business analyst,"sql, excel, data analysis, communication, management",5,degree
ar/vr developer,java,5,degree
data architect,"python, java, sql, aws",8,master
product manager,"excel, data analysis, communication, management, project management",5,master
content writer,management,5,degree
ai researcher,"python, java, deep learning, aws, azure, tensorflow, pytorch",0,unknown
content writer,management,5,degree
mobile app developer,"sql, management",0,degree
it support specialist,"excel, communication, management",0,degree
data analyst,"python, sql, excel, data analysis, aws, azure",3,degree
database administrator,"python, sql",8,degree
software engineer,"python, java, sql, machine learning, docker, tensorflow",5,master
database administrator,"python, java, sql, management",8,degree
cybersecurity analyst,"python, excel, management",0,degree
qa engineer,java,5,unknown
content writer,"excel, management",5,degree
database administrator,"sql, aws, azure",8,degree
product manager,"data analysis, communication, management, project management",8,master
data engineer,"python, sql, machine learning, aws, azure, docker, tensorflow",5,degree
mobile app developer,java,0,degree
robotics engineer,"python, excel, data analysis, communication",0,unknown
cybersecurity analyst,"management, aws, azure",8,degree
ux designer,java,5,degree
ux designer,,5,degree
cloud engineer,"python, java, aws, azure, docker",8,degree
cloud architect,"python, java, management, aws, azure, docker",8,degree
business analyst,"excel, data analysis, communication, management, project management",5,degree
machine learning engineer,"python, machine learning, deep learning, docker, tensorflow, pytorch",5,master
content writer,,5,degree
ui engineer,java,5,degree
cloud engineer,"python, java, excel, communication, aws, azure",0,unknown
full stack developer,"java, sql",5,degree
full stack developer,"java, sql, management, docker",5,degree
content writer,communication,5,degree
product manager,"communication, management, aws",8,master
cloud engineer,"python, aws, azure",5,degree
product manager,"data analysis, communication, management, project management",5,degree
ui engineer,java,5,degree
ar/vr developer,java,0,degree
software engineer,"python, java, sql, management, aws, azure, docker",5,master
ux designer,java,5,degree
ai researcher,"python, java, machine learning, deep learning, tensorflow, pytorch",0,unknown
product manager,"excel, data analysis, management, project management",5,degree
blockchain developer,"python, java, management",5,master
system administrator,"python, excel, aws, azure",8,degree
it support specialist,,5,degree
it support specialist,excel,0,degree
data engineer,"python, java, sql, excel, machine learning, communication, aws, azure, tensorflow, pytorch",0,degree
cloud engineer,"python, java, aws, azure, docker",8,degree
cybersecurity analyst,"python, java, management",0,degree
product manager,"sql, excel, data analysis, communication, management",8,degree
mobile app developer,"java, sql",5,degree
cloud engineer,"python, aws, azure, docker",0,degree
ui engineer,"java, management",5,degree
it support specialist,"python, excel",5,degree
software engineer,"python, java, sql, machine learning, aws, azure, docker",5,master
data engineer,"python, java, sql, excel, machine learning, communication, aws, azure",5,master
e-commerce specialist,management,5,degree
data architect,"python, java, sql, aws, azure",8,degree
blockchain developer,"java, sql, management",0,degree
data analyst,"python, sql, excel, data analysis, management",5,degree
ai researcher,"python, java, deep learning, tensorflow, pytorch",0,unknown
software engineer,"python, excel",5,master
product manager,"communication, management, project management",5,degree
robotics engineer,python,0,master
human resources specialist,"excel, communication, management",5,degree
game developer,,0,master
cloud architect,"aws, docker",8,degree
full stack developer,"python, java, sql",5,master
game developer,,5,unknown
product manager,"data analysis, communication",8,degree
data engineer,"python, sql, machine learning, aws, azure, tensorflow, pytorch",0,degree
data analyst,"python, sql, data analysis, statistics, management",3,degree
software engineer,"python, java, sql, excel, machine learning, communication",5,master
e-commerce specialist,"data analysis, management",5,degree
data scientist,"python, sql, machine learning, deep learning, tensorflow",5,master
game developer,excel,0,unknown
it support specialist,"python, management, azure",5,degree
blockchain developer,"java, sql, management",5,degree
digital marketing specialist,"data analysis, management",5,degree
product manager,"excel, data analysis, communication, management",7,master
qa engineer,java,5,unknown
product manager,"excel, data analysis, management",8,master
digital marketing specialist,management,5,degree
system administrator,"sql, management, azure",0,degree
software engineer,"python, java, sql, machine learning, aws, azure, docker",5,master
mobile app developer,"java, sql",0,degree
e-commerce specialist,"excel, data analysis, communication, management",5,degree
data analyst,"python, sql, excel, machine learning, data analysis, statistics, management",5,degree
data architect,"python, java, sql, machine learning, aws, azure",8,master
qa engineer,"python, java",5,master
ui engineer,java,5,degree
product manager,"sql, excel, data analysis, management",8,master
ai researcher,"python, java, machine learning, tensorflow, pytorch",0,unknown
human resources specialist,"excel, communication, management",5,degree
ux designer,java,5,degree
mobile app developer,java,0,degree
data architect,"python, java, sql, aws, azure",10,master
data scientist,"python, sql, machine learning, data analysis, statistics, management, tensorflow",0,master
robotics engineer,python,5,master
human resources specialist,"excel, communication, management",8,degree
human resources specialist,"excel, communication, management",7,degree
cloud architect,"python, java, management, aws, azure, docker",8,unknown
cybersecurity analyst,"python, management, aws, azure",5,degree
software engineer,"python, java, sql, machine learning, docker, tensorflow",5,master
it support specialist,"aws, azure",5,degree
data analyst,"python, sql, data analysis, management",5,degree
full stack developer,"java, sql, management, docker",0,degree
software engineer,"python, java, sql, excel, communication, docker",5,master
